集会时间,集会名称,集会口号,集会描述,来源,事件时间,详情描述,激烈程度,事件来源,prefecture_name,district,地址,longitude,latitude,人数,角色
2019-09-07 19:00:00,19.09.07机场及北大屿山“和你塞”3.0事件,无,和你塞”2.0的后续行动，示威者号召市民堵塞机场交通,https://www.hk01.com/18_新_/372649/9-7__-_涌太子沙田大埔__澳-_-怒-沿_爆_突,2019-09-07 14:00:00,数十名示威者叫口号及唱歌，其后人数增加到超过百人。,1,https://zh.wikipedia.org/wiki/和你_3.0,九龙半岛,油尖旺区,香港特别行政区油尖旺区太子道西别树一居,114.174412,22.321382,100,示威暴动者
2019-09-08 12:00:00,19.09.08中区人权与民主祈祷集会,“特朗普总统，请拯救香港”，“令香港再次变得强大”,集会目的是促请美国国会通过《香港人权与民主法案》草案。该法案要求美国政府每年审查香港的自治权以确认是否继续给予香港贸易上的优惠。活动开始时和平，后迅速恶化为暴力和破坏事件。,https://news.mingpao.com/ins/逃犯_例/article/20190909/special/1568005240799,2019-09-08 12:00:00,有示威者手持“特朗普总统，请拯救香港”及“令香港再次变得强大”等横额游行。报道亦指出有示威者高唱美国国歌，高举美国国旗，希望美国国会通过《香港人权与民主法案》,1,https://zh.wikipedia.org/wiki/香港人__民主祈__,香港岛,中西区,遮打花园,114.206578,22.385732,0,示威暴动者
2019-09-08 16:00:00,19.09.08中区人权与民主祈祷集会,“特朗普总统，请拯救香港”，“令香港再次变得强大”,集会目的是促请美国国会通过《香港人权与民主法案》草案。该法案要求美国政府每年审查香港的自治权以确认是否继续给予香港贸易上的优惠。活动开始时和平，后迅速恶化为暴力和破坏事件。,https://zh.wikipedia.org/wiki/香港人__民主祈__,2019-09-08 12:00:00,集会者游行至中环,1,https://zh.wikipedia.org/wiki/香港人__民主祈__,香港岛,中西区,中环站,113.944321,22.287235,250000,示威暴动者
2019-09-08 18:00:00,19.09.08中区人权与民主祈祷集会,“特朗普总统，请拯救香港”，“令香港再次变得强大”,集会目的是促请美国国会通过《香港人权与民主法案》草案。该法案要求美国政府每年审查香港的自治权以确认是否继续给予香港贸易上的优惠。活动开始时和平，后迅速恶化为暴力和破坏事件。,https://zh.wikipedia.org/wiki/香港人__民主祈__,2019-09-08 12:00:00,示威者在铜锣湾聚集并设置路障,2,https://zh.wikipedia.org/wiki/香港人__民主祈__,香港岛,中西区,铜锣湾,113.946842,22.311349,0,示威暴动者
2019-09-09 00:23:00,19.09.08中区人权与民主祈祷集会,“特朗普总统，请拯救香港”，“令香港再次变得强大”,集会目的是促请美国国会通过《香港人权与民主法案》草案。该法案要求美国政府每年审查香港的自治权以确认是否继续给予香港贸易上的优惠。活动开始时和平，后迅速恶化为暴力和破坏事件。,https://www.hk01.com/政情/373014/9-8集_-政府__破_港__施-_美__提人_法案表_憾,2019-09-08 12:00:00,特区政府于晚上回应示威，对有美国国会议员再次提出《香港人权与民主法案》草案表示遗憾，并称破坏港铁设施的行径更剥夺其他市民使用港铁的权利，必须立即停止,,https://zh.wikipedia.org/wiki/香港人__民主祈__,香港岛,中西区,中环区,101.506568,29.001454,0,政府官员
2019-09-08 16:30:00,19.09.08中区人权与民主祈祷集会,“特朗普总统，请拯救香港”，“令香港再次变得强大”,集会目的是促请美国国会通过《香港人权与民主法案》草案。该法案要求美国政府每年审查香港的自治权以确认是否继续给予香港贸易上的优惠。活动开始时和平，后迅速恶化为暴力和破坏事件。,https://zh.wikipedia.org/wiki/香港人__民主祈__,2019-09-08 12:00:00,逾千名示威者在毕打街设路障，并在中环站多个出入口大肆破坏，包括用杂物堵塞、纵火、挖转，亦有示威者以硬物击碎出口玻璃及拆毁闭路电视等，期间有示威者向警砖。,3,https://zh.wikipedia.org/wiki/香港人__民主祈__,香港岛,中西区,中环站，毕打街,114.166562,22.279676,1000,示威暴动者
2019-09-08 21:00:00,19.09.08中区人权与民主祈祷集会,“特朗普总统，请拯救香港”，“令香港再次变得强大”,集会目的是促请美国国会通过《香港人权与民主法案》草案。该法案要求美国政府每年审查香港的自治权以确认是否继续给予香港贸易上的优惠。活动开始时和平，后迅速恶化为暴力和破坏事件。,https://www.hk01.com/突_/373233/警方_者_-_者穿反光衣控_被故意_椒-警-後方有示威者,2019-09-08 12:00:00,约二百多名示威者在太子站附近搭建路障，令交通出现堵塞。有示威者手持激光笔照射旺角警署。这是示威者连续第九晚在旺角警署附近示威。,3,https://zh.wikipedia.org/wiki/香港人__民主祈__,九龙半岛,油尖旺区,香港特别行政区油尖旺区太子道西别树一居,114.174412,22.321382,200,示威暴动者
2019-09-08 23:00:00,19.09.08中区人权与民主祈祷集会,“特朗普总统，请拯救香港”，“令香港再次变得强大”,集会目的是促请美国国会通过《香港人权与民主法案》草案。该法案要求美国政府每年审查香港的自治权以确认是否继续给予香港贸易上的优惠。活动开始时和平，后迅速恶化为暴力和破坏事件。,https://www.hk01.com/政情/373020/9-8集_-重__序-美____注-港_游__-入夜多__突,2019-09-08 12:00:00,约三百名示威者包围警署，警方发射了数枚催泪弹和布袋弹。,4,https://zh.wikipedia.org/wiki/香港人__民主祈__,九龙半岛,油尖旺区,香港特别行政区油尖旺区华邦商业中心旺角城大厦,114.176007,22.321883,100,警方
2019-10-29 14:00:00,陈同学悼念活动,查明真相 公布CCTV,陈彦霖死亡事件是于2019年9月在香港发生的一宗死亡悬案，警方调查表明死者为自杀，但有人认为她的死与反修订条例有关，并要求警方查明真相，随后开展了一系列静坐与纪念活动，但多数带有暴力行为。,https://zh.wikipedia.org/wiki/__霖死亡事件,2019-09-19 18:00:33,一批知专设计学院学生及身穿黑衣蒙面人士到香港知专设计学院围堵校长王丽莲校长，遭到在场人士包围及指骂，，报称不适需送院，但大批学生仍然包围救护车，一度阻止校长王丽莲及救护车离开。下午三点起，只剩副校长黄伟祖与学生讨论，再到学校大堂要求校方交代真相。下午五点，多名黑衣蒙面人士不满校方回复，破坏校内设施，触发洒水系统。,2,https://zh.wikipedia.org/wiki/__霖死亡事件,新界,西贡区,香港新界将军澳调景岭景岭路三号,114.259359,22.303023,200,示威暴动者
2019-09-22 11:00:00,陈同学悼念活动,查明真相 公布CCTV,陈彦霖死亡事件是于2019年9月在香港发生的一宗死亡悬案，警方调查表明死者为自杀，但有人认为她的死与反修订条例有关，并要求警方查明真相，随后开展了一系列静坐与纪念活动，但多数带有暴力行为。,https://zh.wikipedia.org/wiki/__霖死亡事件,2019-09-19 18:00:33,9月22日上午11时，一名男子在钓鱼时发现魔鬼山对出约100米海面，有一具疑似人形物体，怀疑有人遇溺。警方接报后到场，水警轮捞起一具身份不明、全裸的女浮尸，案件交由东区警区刑事调查队负责。,,https://zh.wikipedia.org/wiki/__霖死亡事件,新界,西贡区,香港特别行政区西贡区炮台山,114.248949,22.29093,1,市民
2019-10-14 08:00:00,陈同学悼念活动,查明真相 公布CCTV,陈彦霖死亡事件是于2019年9月在香港发生的一宗死亡悬案，警方调查表明死者为自杀，但有人认为她的死与反修订条例有关，并要求警方查明真相，随后开展了一系列静坐与纪念活动，但多数带有暴力行为。,https://zh.wikipedia.org/wiki/__霖死亡事件,2019-09-19 18:00:33,2019年10月14日上午，大批学生及街坊到香港知专设计学院举办悼念活动，同时要求校方交出陈彦霖出事当日的闭路电视录影片段。下午4时，校方容许学生排队分批进入放映室观看两段片段，学生随即发现片段有可疑，时间记录一度跳前跳后，怀疑片段曾经被剪接。学生非常不满，要求副校长出来交代。学生情绪激动，要求校方在当晚六点前交出完整的 CCTV 片段。大批学生在校园平台静坐等候。,1,https://zh.wikipedia.org/wiki/__霖死亡事件,新界,西贡区,香港新界将军澳调景岭景岭路三号,114.259359,22.303023,300,示威暴动者
2019-10-14 18:00:00,陈同学悼念活动,查明真相 公布CCTV,陈彦霖死亡事件是于2019年9月在香港发生的一宗死亡悬案，警方调查表明死者为自杀，但有人认为她的死与反修订条例有关，并要求警方查明真相，随后开展了一系列静坐与纪念活动，但多数带有暴力行为。,https://zh.wikipedia.org/wiki/__霖死亡事件,2019-09-19 18:00:33,一批蒙面人在校园内大肆破坏，玻璃被打破，碎片散落一地，他们又在外墙以黑色油漆喷上“枉为人师”及“CCTV”等字句。校内警钟响起，有洒水系统被破坏，不断喷水。一小时后，数名消防员到场，该批蒙面人四散。,3,https://zh.wikipedia.org/wiki/__霖死亡事件,新界,西贡区,香港新界将军澳调景岭景岭路三号,114.163825,22.276284,100,示威暴动者
2019-09-19 18:00:00,陈同学悼念活动,查明真相 公布CCTV,陈彦霖死亡事件是于2019年9月在香港发生的一宗死亡悬案，警方调查表明死者为自杀，但有人认为她的死与反修订条例有关，并要求警方查明真相，随后开展了一系列静坐与纪念活动，但多数带有暴力行为。,https://zh.wikipedia.org/wiki/__霖死亡事件,2019-09-19 18:00:33,有清洁工人于9月19日傍晚在调景岭站A出口附近地面发现陈彦霖的手机及文具。车站职员根据手机电话簿联络陈的家人，陈的家属于两日后到车站领回失物[14]。,,https://zh.wikipedia.org/wiki/__霖死亡事件,新界,西贡区,香港新界西贡区调景岭站A出口,114.120383,22.365683,1,市民
